user_id,state,country
13450647,PA,USA
49333063,PA,USA
97859466,PA,USA
39218008,PA,USA
92067917,NY,USA
27216037,NJ,USA
48093625,NY,USA
31289386,PA,USA
22362264,PA,USA
91470730,NJ,USA
83403206,NY,USA
9576249,NJ,USA
88079030,NY,USA
8059217,NY,USA
84066261,NY,USA
63879782,NY,USA
59858832,PA,USA
16811679,NY,USA
34867715,NJ,USA
11933125,PA,USA
98614646,NY,USA
62260547,NY,USA
69022498,NY,USA
193849,NY,USA
92108985,PA,USA
3321167,NJ,USA
92834759,NY,USA
60880562,NJ,USA
14571102,NY,USA
21274188,PA,USA
28193796,NJ,USA
34744812,PA,USA
31386424,NY,USA
64223113,NY,USA
97129128,NY,USA
30348690,NY,USA
61379950,PA,USA
38372097,NJ,USA
39774249,NY,USA
21922232,PA,USA
87380605,NY,USA
17691929,PA,USA
15006638,PA,USA
25852638,NJ,USA
61022247,NY,USA
38230495,PA,USA
4219059,NY,USA
11028637,NY,USA
2773402,NJ,USA
16364153,PA,USA
50825811,NY,USA
27672671,PA,USA
20032631,PA,USA
66927173,NY,USA
87414883,NJ,USA
36986722,NJ,USA
95718771,NY,USA
67372750,NY,USA
26880032,NJ,USA
41793760,NY,USA
60337778,NJ,USA
51991530,NJ,USA
24106247,NY,USA
64698440,NY,USA
2822513,NY,USA
68462776,NY,USA
63804659,PA,USA
46008490,PA,USA
55094709,NY,USA
44750298,PA,USA
54550417,NY,USA
607710,NY,USA
26514244,PA,USA
90279787,NJ,USA
52255377,NY,USA
21691133,NJ,USA
30216504,NY,USA
87138322,NY,USA
55240884,PA,USA
17137698,NJ,USA
89447752,PA,USA
42826383,PA,USA
2633093,NJ,USA
45299902,NJ,USA
52784395,NJ,USA
81064803,NY,USA
13251845,PA,USA
84520496,NY,USA
65118899,NJ,USA
96108896,NY,USA
75616641,PA,USA
3557145,NY,USA
94674971,PA,USA
89410777,NY,USA
86802437,PA,USA
61872722,NY,USA
16027156,NJ,USA
31250494,NY,USA
63132355,PA,USA
21918229,NY,USA
27361239,PA,USA
69178088,NJ,USA
25269203,NY,USA
39257864,NY,USA
17936835,NJ,USA
11393414,NY,USA
63050702,NJ,USA
76492981,NY,USA
66644468,NY,USA
49013119,NY,USA
22936330,NJ,USA
14172524,PA,USA
88699477,NY,USA
45840823,NY,USA
72733276,NY,USA
25259472,PA,USA
12068815,NJ,USA
48184120,PA,USA
75107910,NY,USA
26480350,NY,USA
16965207,PA,USA
7594751,PA,USA
56626915,NY,USA
93297586,PA,USA
60755231,PA,USA
15205752,PA,USA
93695483,NJ,USA
46114776,PA,USA
25879806,NJ,USA
44793580,NJ,USA
87991945,PA,USA
63141497,PA,USA
97414323,NJ,USA
18055848,PA,USA
62134035,NJ,USA
6229273,NJ,USA
40442399,NJ,USA
55053754,NJ,USA
95278066,NY,USA
12387040,NJ,USA
4884690,NY,USA
3687169,NY,USA
46271353,PA,USA
9344524,NJ,USA
70136784,NY,USA
4509277,NJ,USA
99526514,NJ,USA
47165934,NY,USA
51533412,PA,USA
15489643,NJ,USA
54577071,NY,USA
10738474,NY,USA
32978243,NY,USA
78683597,PA,USA
70693674,NY,USA
92288312,PA,USA
88082551,NJ,USA
53710893,NJ,USA
66757697,PA,USA
56162901,NJ,USA
10660324,PA,USA
84649595,PA,USA
14452173,PA,USA
42583708,NJ,USA
78284763,NY,USA
48402901,PA,USA
33007799,NJ,USA
58030431,PA,USA
4522767,NY,USA
71106632,NY,USA
54406234,NY,USA
70825803,PA,USA
14475259,NJ,USA
77737850,NY,USA
42881079,NY,USA
67194975,NY,USA
18730707,NY,USA
77502919,NY,USA
92206666,NY,USA
38535997,NY,USA
80002138,PA,USA
1247014,NJ,USA
63169218,PA,USA
8163377,NJ,USA
10716368,PA,USA
39434972,NY,USA
22443406,PA,USA
21839737,PA,USA
29527120,NY,USA
15731714,NY,USA
55003431,PA,USA
63202785,PA,USA
94802372,PA,USA
5042045,NY,USA
91696837,NJ,USA
96582318,NY,USA
45845403,NJ,USA
80351618,PA,USA
84532691,PA,USA
75125391,NJ,USA
83647680,NJ,USA
15768392,NY,USA
1227348,NY,USA
83896034,PA,USA
17291087,NJ,USA
26464261,PA,USA
84749839,NJ,USA
34334525,NY,USA
85750218,NY,USA
31338287,NY,USA
29943001,NJ,USA
49514570,NY,USA
66033427,NY,USA
35714798,PA,USA
84108263,PA,USA
86464764,NY,USA
63404659,PA,USA
17867074,NJ,USA
3668947,PA,USA
3727486,NY,USA
84330980,NY,USA
48133471,PA,USA
19514280,NJ,USA
19680977,PA,USA
39550705,PA,USA
67358845,NY,USA
46606851,NJ,USA
34756043,NY,USA
7371636,NJ,USA
7659431,NJ,USA
29354761,NJ,USA
1239214,PA,USA
55983528,PA,USA
13487989,NY,USA
44853720,NJ,USA
29125842,PA,USA
86512349,NJ,USA
52382294,PA,USA
11334232,NJ,USA
1874475,NJ,USA
13723214,NJ,USA
41289578,NJ,USA
79998646,NJ,USA
46725348,NY,USA
28464260,PA,USA
22357416,PA,USA
24456133,NY,USA
20614655,PA,USA
71310361,NJ,USA
74071532,NY,USA
56594413,PA,USA
88068009,PA,USA
28448422,NY,USA
26647904,PA,USA
3638462,PA,USA
71768743,NY,USA
54813613,NY,USA
55565109,PA,USA
61893765,PA,USA
43914458,PA,USA
54105065,NJ,USA
72220835,NY,USA
45140673,NY,USA
36715526,NY,USA
41548289,PA,USA
90421933,NJ,USA
44236279,NY,USA
91659589,NY,USA
21735286,PA,USA
32143263,NJ,USA
40328821,NY,USA
58092062,PA,USA
61937404,NY,USA
47046056,NY,USA
27631036,PA,USA
67571460,NY,USA
94258186,NJ,USA
34891749,NY,USA
82346106,PA,USA
52874026,NJ,USA
21531667,NJ,USA
81359493,NJ,USA
18354744,PA,USA
13696757,NJ,USA
87379956,NJ,USA
58348232,NY,USA
36407450,NY,USA
14891356,PA,USA
70132637,PA,USA
37457308,PA,USA
92231520,NJ,USA
70373881,NJ,USA
62324701,NY,USA
96135379,NY,USA
97243385,NY,USA
55464849,NY,USA
88237194,PA,USA
92241811,PA,USA
65880039,NY,USA
73347889,NY,USA
63055771,NJ,USA
27219890,PA,USA
60042112,NJ,USA
50439956,PA,USA
42055901,NY,USA
64128423,PA,USA
53559614,PA,USA
3062654,NJ,USA
82992054,NY,USA
80987562,NJ,USA
81044473,PA,USA
99524904,PA,USA
89609515,NY,USA
31795337,PA,USA
60119512,NJ,USA
51792754,NY,USA
17002851,NJ,USA
26027697,PA,USA
52800531,NY,USA
58075493,NY,USA
38923192,NJ,USA
33287984,PA,USA
40532283,NY,USA
64882195,PA,USA
26247428,NY,USA
28516328,NY,USA
93790631,PA,USA
39495518,NJ,USA
49890916,NY,USA
95554093,NY,USA
62568739,PA,USA
32643473,PA,USA
83813439,NY,USA
13600617,PA,USA
24436642,PA,USA
74201506,NY,USA
94990102,PA,USA
16840085,PA,USA
21307770,PA,USA
99440181,NY,USA
69885945,NY,USA
69381529,NJ,USA
20112352,NY,USA
91274211,PA,USA
26784584,PA,USA
28853637,NY,USA
97611736,NJ,USA
42180480,PA,USA
61440830,NY,USA
26605841,NY,USA
61424855,PA,USA
24989017,PA,USA
37312722,NY,USA
70251699,NY,USA
84245743,NY,USA
90203268,PA,USA
74632079,NY,USA
54460767,NY,USA
21728829,NY,USA
47426408,NY,USA
4441380,PA,USA
71374104,NY,USA
83782579,NJ,USA
36220568,NY,USA
61648258,PA,USA
80198131,PA,USA
85888022,NY,USA
52709897,NJ,USA
6937054,NY,USA
85180070,NY,USA
29066178,NJ,USA
60936705,NJ,USA
29882647,PA,USA
67951317,NY,USA
717272,NY,USA
90683996,NY,USA
48101740,NY,USA
55472166,NY,USA
54550137,PA,USA
84281525,NY,USA
40060838,NJ,USA
61760296,NJ,USA
63914450,NY,USA
20273011,PA,USA
5054820,PA,USA
64599041,PA,USA
44380470,NY,USA
75982627,PA,USA
25564454,NJ,USA
98717829,PA,USA
44373270,NY,USA
849921,PA,USA
97697591,NY,USA
77445846,PA,USA
79009845,NJ,USA
64724479,PA,USA
17720167,NY,USA
4347743,NJ,USA
25263228,PA,USA
45700349,PA,USA
38286438,NY,USA
89290166,NY,USA
26519973,NY,USA
68790217,NY,USA
31062187,NJ,USA
83008586,PA,USA
94215779,NY,USA
37535672,NJ,USA
64424962,NY,USA
41910383,NY,USA
13841300,NY,USA
31453179,PA,USA
91792795,NY,USA
70889858,NJ,USA
98184302,NJ,USA
71682403,NY,USA
41505346,NY,USA
45236452,PA,USA
94649692,PA,USA
34830969,PA,USA
11391437,NJ,USA
82726868,PA,USA
56251435,NY,USA
90157862,NY,USA
75095674,NY,USA
98169001,NY,USA
64253687,PA,USA
55445881,NY,USA
95432326,NY,USA
91175242,PA,USA
27907827,PA,USA
58725494,NY,USA
74380012,NJ,USA
30104876,NY,USA
28244797,PA,USA
80036343,NY,USA
78918035,PA,USA
75636124,NY,USA
38355722,PA,USA
51017703,NY,USA
67594564,NY,USA
39226918,NJ,USA
93883683,NY,USA
66966537,PA,USA
67118509,NY,USA
45896745,NY,USA
7769698,NY,USA
21969351,NJ,USA
74419381,NY,USA
29237651,PA,USA
19239620,PA,USA
54470131,NY,USA
96658395,PA,USA
95688504,NJ,USA
67296375,NY,USA
59416741,PA,USA
40800740,NY,USA
71282570,PA,USA
16995397,NY,USA
24610091,PA,USA
32960703,NJ,USA
99357114,PA,USA
48805244,NY,USA
31418221,PA,USA
78178490,PA,USA
44458206,NY,USA
72318747,NY,USA
2245350,NY,USA
30346495,NY,USA
68851192,PA,USA
46308523,NJ,USA
43412168,NY,USA
28216210,NY,USA
95550463,NY,USA
51797081,NJ,USA
